referencia,estado,poluente_emitido,quantidade
2013,ALAGOAS,Óxidos de nitrogênio (NOx),11302.480000000001
2013,SANTA CATARINA,Partículas (PM10),13.97
2013,ESPIRITO SANTO,Dióxido de enxofre,17.11
2013,PARANA,Dióxido de enxofre,5.72
2013,PARAIBA,Óxidos de enxofre (SOx),14303.31
2013,RIO GRANDE DO SUL,Monóxido de carbono,4163.57
2013,AMAPA,Monóxido de carbono (CO),788.86
2013,RONDONIA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",610.77
2013,AMAZONAS,Partículas (PM10),0.95
2013,CEARA,Monóxido de carbono (CO),2195820.499999998
2013,ESPIRITO SANTO,Óxidos de nitrogênio (NOx),31905.319999999996
2013,PARA,Material Particulado (MP),284698.79
2013,RIO GRANDE DO SUL,Óxido nitroso,4639
2013,MARANHAO,Outros fluoretos,71.72999999999999
2013,RIO GRANDE DO SUL,clorodifluorometano (HCFC-22),13.6
2013,MATO GROSSO,Óxidos de enxofre (SOx),45699.92999999999
2013,MINAS GERAIS,Partículas (PM10),26102.59
2013,SANTA CATARINA,Dióxido de enxofre,2028.4299999999998
2013,MINAS GERAIS,Desperdício e resíduos de estanho,0.05
2013,PARANA,Material Particulado (MP),26442129.730000034
2013,BAHIA,Óxidos de nitrogênio (NOx),525194.4600000005
2013,RIO GRANDE DO SUL,Monóxido de carbono (CO),297482.75000000006
2013,PIAUI,Monóxido de carbono (CO),386.01
2013,TOCANTINS,Desperdícios e resíduos de chumbo,0.12
2013,SAO PAULO,Clorobenzeno,2391
2013,RONDONIA,Monóxido de carbono (CO),85931.65999999999
2013,MINAS GERAIS,Material Particulado (MP),18817843399.70974
2013,RIO DE JANEIRO,Monóxido de carbono,1705.95
2013,PARANA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",66798.40000000001
2013,BAHIA,Compostos orgânicos voláteis não metânicos(COVNM),5.3
2013,RIO GRANDE DO SUL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",464.17
2013,AMAZONAS,Óxidos de enxofre (SOx),3589.750000000001
2013,ACRE,Material Particulado (MP),44.02
2013,RIO DE JANEIRO,clorodifluorometano (HCFC-22),81.65
2013,MATO GROSSO,Óxidos de nitrogênio (NOx),257813.41
2013,MATO GROSSO DO SUL,Óxidos de enxofre (SOx),563386.8899999999
2013,PARAIBA,Monóxido de carbono (CO),10637.33
2013,ALAGOAS,Óxidos de enxofre (SOx),230.81000000000003
2013,SAO PAULO,Dióxido de enxofre,759508.47
2013,DISTRITO FEDERAL,Material Particulado (MP),1229.22
2013,MARANHAO,Óxidos de nitrogênio (NOx),1410236.24
2013,SAO PAULO,Cloreto de hidrogênio (ácido clorídrico),1218.6
2013,SAO PAULO,Compostos orgânicos voláteis não metânicos(COVNM),19281.46
2013,RIO GRANDE DO SUL,Dióxido de enxofre,75445.14
2013,MARANHAO,Óxidos de enxofre (SOx),2641539.87
2013,MINAS GERAIS,Óxidos de nitrogênio (NOx),207256.08000000002
2013,GOIAS,Óxidos de enxofre (SOx),11995.360000000002
2013,SANTA CATARINA,Monóxido de carbono,29119.620000000003
2013,AMAPA,Óxidos de nitrogênio (NOx),4775.7699999999995
2013,ESPIRITO SANTO,Material Particulado (MP),57500.66999999999
2013,CEARA,Óxidos de enxofre (SOx),1939.0399999999997
2013,RIO DE JANEIRO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",12609.16
2013,MATO GROSSO,Monóxido de carbono (CO),291371.4200000001
2013,SAO PAULO,Cinzas e resíduos contendo chumbo,0.2
2013,PARANA,Partículas (PM10),428.99999999999994
2013,MINAS GERAIS,Outros óxidos de chumbo,0.62
2013,SAO PAULO,Etilbenzeno,8069
2013,PARA,Óxidos de nitrogênio (NOx),13758.56
2013,RIO DE JANEIRO,Fluoreto de hidrogênio (ácido fluorídrico),0.37
2013,RONDONIA,Óxidos de nitrogênio (NOx),20761.95
2013,ALAGOAS,Material Particulado (MP),105704.50999999998
2013,MINAS GERAIS,Ácido nítrico,2932.77
2013,SAO PAULO,Cloro,1560.7
2013,SANTA CATARINA,Monóxido de carbono (CO),1088837.6300000004
2013,SAO PAULO,Material Particulado (MP),28406592.320000306
2013,MINAS GERAIS,Cloreto de hidrogênio (ácido clorídrico),13753.08
2013,AMAPA,Óxidos de enxofre (SOx),231.31
2013,CEARA,Material Particulado (MP),30161.439999999984
2013,MARANHAO,Partículas (PM10),641.8100000000002
2013,PERNAMBUCO,Óxidos de enxofre (SOx),49966.659999999996
2013,MINAS GERAIS,Poeiras de zinco,145.72
2013,RIO GRANDE DO SUL,Óxidos de enxofre (SOx),110805.52
2013,BAHIA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",1325278.0299999998
2013,SAO PAULO,"1,2 - dicloroetano (dicloreto de etileno)",2391
2013,CEARA,Dióxido de enxofre,127.2
2013,SAO PAULO,Naftaleno,2391
2013,PARAIBA,Óxidos de nitrogênio (NOx),30820.76
2013,GOIAS,Monóxido de carbono,265980
2013,MINAS GERAIS,Dióxido de enxofre,7439.45
2013,MATO GROSSO DO SUL,Partículas (PM10),233.2
2013,RIO GRANDE DO NORTE,Óxidos de nitrogênio (NOx),4303.91
2013,PARA,Outros fluoretos,0.46
2013,SAO PAULO,"1,2- dibromoetano",2391
2013,SERGIPE,Óxidos de nitrogênio (NOx),8932.089999999998
2013,MATO GROSSO DO SUL,Óxidos de nitrogênio (NOx),171328.17999999996
2013,DISTRITO FEDERAL,Óxidos de enxofre (SOx),126437.37
2013,RIO GRANDE DO NORTE,Monóxido de carbono (CO),13697.310000000007
2013,SAO PAULO,Monóxido de carbono (CO),15339839.189999988
2013,SANTA CATARINA,Óxido nitroso,4
2013,AMAZONAS,Óxidos de nitrogênio (NOx),42038.93000000001
2013,PARANA,Metanal (formaldeído ou formol),168.01
2013,SERGIPE,Óxidos de enxofre (SOx),10884.750000000002
2013,SANTA CATARINA,Compostos orgânicos voláteis não metânicos(COVNM),65.98
2013,PIAUI,Material Particulado (MP),2650.4700000000003
2013,MATO GROSSO DO SUL,Monóxido de carbono,9.469999999999999
2013,SAO PAULO,Tolueno,29415
2013,RONDONIA,Dióxido de enxofre,18.9
2013,MINAS GERAIS,Desperdícios e resíduos de chumbo,0.01
2013,BAHIA,Partículas (PM10),1.9
2013,SAO PAULO,Benzeno,86812
2013,MARANHAO,Monóxido de carbono (CO),4345.789999999999
2013,SAO PAULO,Óxidos de enxofre (SOx),243647.90000000014
2013,BAHIA,Dióxido de enxofre,1145.32
2013,SAO PAULO,"1,1,2,2-Tetracloroetano",2391
2013,TOCANTINS,Óxidos de enxofre (SOx),347.99
2013,MINAS GERAIS,Monóxido de carbono (CO),278466932.41999996
2013,TOCANTINS,Óxidos de nitrogênio (NOx),1015.9399999999998
2013,TOCANTINS,Monóxido de carbono,410.51
2013,MINAS GERAIS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",1964.33
2013,MINAS GERAIS,Outras ligas de cobre em forma bruta;,4.2
2013,SANTA CATARINA,Óxidos de enxofre (SOx),712482.5099999997
2013,SANTA CATARINA,Cloreto de hidrogênio (ácido clorídrico) em solução aquosa,120
2013,AMAZONAS,Dióxido de enxofre,11.45
2013,SAO PAULO,"Manganês em formas brutas (lingotes, placas, etc.) e semimanufaturadas (barras, perfis, chapas, etc.); pós; desperdícios e resíduos",4
2013,MINAS GERAIS,Ligas de estanho em forma bruta,8.7
2013,MINAS GERAIS,Mirex (dodecacloro deriv. halog. hidrocarboneto ciclanico),6.99
2013,TOCANTINS,Flúor,0.09
2013,PERNAMBUCO,Monóxido de carbono,558
2013,ALAGOAS,Monóxido de carbono,3316
2013,BAHIA,Óxidos de enxofre (SOx),570525.2800000003
2013,PARANA,Monóxido de carbono (CO),6945098.359999997
2013,MINAS GERAIS,Monóxido de carbono,6873.74
2013,PARANA,Cinzas e resíduos contendo chumbo,400
2013,SAO PAULO,"1,1,2-Tricloroetano",2391
2013,PARA,Óxidos de enxofre (SOx),24542.11999999999
2013,MATO GROSSO DO SUL,Material Particulado (MP),547790.6400000002
2013,RIO DE JANEIRO,Partículas (PM10),61.89
2013,GOIAS,Óxidos de nitrogênio (NOx),967694.2399999998
2013,AMAZONAS,Material Particulado (MP),4944758.06
2013,MATO GROSSO,Dióxido de enxofre,0.51
2013,RIO DE JANEIRO,Dióxido de enxofre,604.83
2013,GOIAS,Dióxido de enxofre,200797.03000000003
2013,ALAGOAS,Partículas (PM10),1320
2013,ESPIRITO SANTO,Monóxido de carbono (CO),1522828.3000000005
2013,RIO GRANDE DO SUL,Material Particulado (MP),521913.49000000115
2013,MATO GROSSO,Material Particulado (MP),87144.22999999998
2013,SAO PAULO,Cloroformio (triclorometano),2391
2013,SANTA CATARINA,Material Particulado (MP),1058659.8200000008
2013,RIO GRANDE DO SUL,Nitrogênio,79
2013,SERGIPE,Material Particulado (MP),1562.23
2013,AMAPA,Material Particulado (MP),131.76
2013,PARANA,Compostos orgânicos voláteis não metânicos(COVNM),303.3
2013,RONDONIA,Material Particulado (MP),45631.159999999996
2013,RIO GRANDE DO NORTE,Óxidos de enxofre (SOx),1246.35
2013,ACRE,Óxidos de nitrogênio (NOx),5000
2013,SAO PAULO,"Xilenos (O-xileno, m-xileno ou p-xileno)",4004
2013,RONDONIA,Óxidos de enxofre (SOx),5832.37
2013,DISTRITO FEDERAL,Dióxido de enxofre,1020.99
2013,RIO DE JANEIRO,Monóxido de carbono (CO),1273588.9400000002
2013,ESPIRITO SANTO,Óxidos de enxofre (SOx),38612.31
2013,SAO PAULO,Óxidos de nitrogênio (NOx),22298081.03000001
2013,PARAIBA,Material Particulado (MP),28560.87
2013,CEARA,Monóxido de carbono,3595.2999999999997
2013,SERGIPE,Monóxido de carbono (CO),820.12
2013,PERNAMBUCO,Cloreto de hidrogênio (ácido clorídrico),1042.3
2013,ALAGOAS,Monóxido de carbono (CO),7762.81
2013,PARA,Dióxido de enxofre,266.15999999999997
2013,SAO PAULO,Outros óxidos de chumbo,0.05
2013,PARANA,Monóxido de carbono,239564.66000000003
2013,DISTRITO FEDERAL,Óxidos de nitrogênio (NOx),58.37
2013,PERNAMBUCO,Óxidos de nitrogênio (NOx),143069.81999999998
2013,MATO GROSSO DO SUL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",76.69
2013,RIO DE JANEIRO,Cloreto de hidrogênio (ácido clorídrico),101.08
2013,SAO PAULO,o-diclorobenzeno,2391
2013,ALAGOAS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",422837
2013,AMAZONAS,Monóxido de carbono (CO),39418887.25000001
2013,PERNAMBUCO,Óxido nitroso,7977.21
2013,SAO PAULO,Outros fluoretos,24789.6
2013,MINAS GERAIS,Amoniaco em soluçao aquosa,137.94
2013,DISTRITO FEDERAL,Monóxido de carbono (CO),146832.34999999998
2013,RIO GRANDE DO NORTE,Monóxido de carbono,623.41
2013,GOIAS,Monóxido de carbono (CO),85472209.69
2013,SAO PAULO,Partículas (PM10),1396187.3799999992
2013,RIO DE JANEIRO,Cinzas e resíduos contendo chumbo,2.18
2013,RIO DE JANEIRO,Óxido nitroso,108.61999999999999
2013,MATO GROSSO DO SUL,Monóxido de carbono (CO),710036.3199999998
2013,PERNAMBUCO,Material Particulado (MP),1272802.6800000002
2013,PIAUI,Óxidos de enxofre (SOx),2.7
2013,SAO PAULO,Diclorometano (cloreto de metileno),2396.68
2013,ACRE,Monóxido de carbono (CO),11206.67
2013,SAO PAULO,Nitrogênio,85392.01
2013,SAO PAULO,"1,1,1-tricloroetano (metilcloroformio)",2391
2013,DISTRITO FEDERAL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",439.99
2013,SAO PAULO,Monóxido de carbono,370863.31
2013,MINAS GERAIS,Óxidos de enxofre (SOx),211252.47
2013,RIO GRANDE DO NORTE,Material Particulado (MP),8025.380000000002
2013,ACRE,Óxidos de enxofre (SOx),88
2013,BAHIA,Óxido nitroso,18.85
2013,SAO PAULO,Estireno,20120
2013,BAHIA,Material Particulado (MP),57524.800000000076
2013,RIO DE JANEIRO,Cloro,1.79
2013,DISTRITO FEDERAL,Nitrogênio,8426.41
2013,GOIAS,Material Particulado (MP),1329728.6700000004
2013,ESPIRITO SANTO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",56.4
2013,BAHIA,Monóxido de carbono (CO),2396084.7799999975
2013,PIAUI,Óxidos de nitrogênio (NOx),1.4
2013,PERNAMBUCO,Partículas (PM10),1.51
2013,PARANA,Óxidos de enxofre (SOx),154795.65000000002
2013,RIO DE JANEIRO,Material Particulado (MP),9130167.829999998
2013,PARANA,Óxidos de nitrogênio (NOx),1296948.2000000002
2013,TOCANTINS,Monóxido de carbono (CO),19949.07
2013,MARANHAO,Dióxido de enxofre,7793.4
2013,SAO PAULO,Ácido sulfúrico,1496.25
2013,TOCANTINS,Poeiras de zinco,0.71
2013,CEARA,Óxidos de nitrogênio (NOx),12726.580000000002
2013,MINAS GERAIS,Compostos orgânicos voláteis não metânicos(COVNM),27247.18
2013,MARANHAO,Material Particulado (MP),74154.57000000002
2013,RIO DE JANEIRO,Compostos orgânicos voláteis não metânicos(COVNM),0
2013,SANTA CATARINA,Óxidos de nitrogênio (NOx),3079251.569999999
2013,DISTRITO FEDERAL,Monóxido de carbono,8.18
2013,TOCANTINS,Material Particulado (MP),18799.08999999999
2013,PERNAMBUCO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",331447.72000000003
2013,RIO DE JANEIRO,Óxidos de enxofre (SOx),5241723.589999999
2013,PERNAMBUCO,Dióxido de enxofre,1835.1200000000001
2013,RIO GRANDE DO SUL,Óxidos de nitrogênio (NOx),810612.73
2013,PARA,Monóxido de carbono (CO),621682.3800000001
2013,SAO PAULO,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",3342553.769999999
2013,MATO GROSSO DO SUL,Dióxido de enxofre,1.96
2013,RIO DE JANEIRO,Óxidos de nitrogênio (NOx),16876557.179999996
2013,TOCANTINS,Boro; telúrio,0.51
2013,BAHIA,Monóxido de carbono,1380.08
2013,PERNAMBUCO,Monóxido de carbono (CO),60784.620000000024
2013,MINAS GERAIS,Nitrogênio,6823.63
2014,RIO GRANDE DO SUL,Óxidos de nitrogênio (NOx),319203.94
2014,PIAUI,Óxidos de enxofre (SOx),0.35
2014,SAO PAULO,Compostos orgânicos voláteis não metânicos(COVNM),1.43
2014,GOIAS,Outros fluoretos,345328.5
2014,PARA,Óxidos de nitrogênio (NOx),11728.779999999999
2014,PARA,Óxidos de enxofre (SOx),33960.28999999999
2014,SAO PAULO,"Álcool etílico não desnaturado, com teor alcoólico em volume menor que 80%",1
2014,MATO GROSSO,Monóxido de carbono (CO),289586.69
2014,PERNAMBUCO,Óxidos de enxofre (SOx),302076.94
2014,CEARA,Monóxido de carbono (CO),2076409.8500000003
2014,MATO GROSSO,Material Particulado (MP),13019.970000000005
2014,SAO PAULO,Óxido nitroso,99390.2
2014,DISTRITO FEDERAL,Nitrogênio,8426.41
2014,SANTA CATARINA,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",1305.03
2014,GOIAS,Material Particulado (MP),1094412.5799999991
2014,MATO GROSSO DO SUL,Monóxido de carbono (CO),845951.2200000001
2014,PARAIBA,Óxidos de nitrogênio (NOx),48277.68
2014,SANTA CATARINA,Óxidos de nitrogênio (NOx),2539375.0900000003
2014,TOCANTINS,Óxidos de enxofre (SOx),132.56
2014,DISTRITO FEDERAL,Óxidos de enxofre (SOx),191.39
2014,PARA,Material Particulado (MP),280749.9
2014,DISTRITO FEDERAL,Monóxido de carbono,8.18
2014,ALAGOAS,Monóxido de carbono (CO),15053.72
2014,SAO PAULO,Cloreto de hidrogênio (ácido clorídrico),58.660000000000004
2014,AMAPA,Óxidos de nitrogênio (NOx),2315.46
2014,CEARA,Monóxido de carbono,318.48
2014,PERNAMBUCO,Monóxido de carbono (CO),68594.94000000003
2014,RIO GRANDE DO SUL,Material Particulado (MP),514221.99000000046
2014,GOIAS,Óxidos de enxofre (SOx),10287.43
2014,ESPIRITO SANTO,Óxidos de nitrogênio (NOx),34154.34000000001
2014,RIO GRANDE DO SUL,Dióxido de enxofre,11602.28
2014,RIO GRANDE DO SUL,Óxido nitroso,552
2014,MATO GROSSO DO SUL,Óxidos de nitrogênio (NOx),434985.05
2014,DISTRITO FEDERAL,Monóxido de carbono (CO),949568.05
2014,AMAZONAS,Óxidos de enxofre (SOx),50444582.06
2014,RONDONIA,Óxidos de enxofre (SOx),2926.42
2014,SAO PAULO,Monóxido de carbono,396.25
2014,SAO PAULO,Nitrogênio,0.01
2014,RIO GRANDE DO NORTE,Monóxido de carbono (CO),11398.570000000007
2014,RIO GRANDE DO NORTE,Óxidos de enxofre (SOx),1307.27
2014,AMAPA,Monóxido de carbono (CO),533.63
2014,MINAS GERAIS,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",906
2014,PARANA,Material Particulado (MP),862128.4200000012
2014,SANTA CATARINA,Dióxido de enxofre,0.19
2014,SANTA CATARINA,Monóxido de carbono,3208.1
2014,GOIAS,Cinzas e resíduos contendo chumbo,0.13
2014,GOIAS,Óxidos de nitrogênio (NOx),804606.0799999997
2014,MINAS GERAIS,Monóxido de carbono,6811.2
2014,SAO PAULO,Cinzas e resíduos contendo chumbo,0.2
2014,AMAZONAS,Cloreto de hidrogênio (ácido clorídrico),0
2014,RIO DE JANEIRO,Dióxido de enxofre,0.15
2014,DISTRITO FEDERAL,"Dióxido de carbono (gás carbônico, anidrido carbônico); gelo seco",439.99
2014,RIO GRANDE DO NORTE,Óxidos de nitrogênio (NOx),3784.08
2014,ESPIRITO SANTO,Material Particulado (MP),166815.18000000002
2014,SERGIPE,Óxidos de nitrogênio (NOx),8014.289999999999
2014,PARANA,Monóxido de carbono,329.63
2014,SAO PAULO,Óxidos de nitrogênio (NOx),5180753.590000004
2014,AMAZONAS,Monóxido de carbono (CO),20195283.069999997
2014,TOCANTINS,Óxidos de nitrogênio (NOx),4854.17
2014,SAO PAULO,Cloro,394.22999999999996
2014,SANTA CATARINA,Material Particulado (MP),179806.46999999983
