referencia,estado,poluente_emitido,quantidade
2013,ACRE,,16338.69
2013,RIO DE JANEIRO,,32537315.06000007
2013,ESPIRITO SANTO,,1650920.11
2013,PARA,,944948.4700000003
2013,SANTA CATARINA,,5970583.5299999975
2013,CEARA,,2244370.060000001
2013,ALAGOAS,,552473.6100000002
2013,DISTRITO FEDERAL,,284452.88
2013,PARANA,,35146641.030000046
2013,RONDONIA,,158786.81000000008
2013,RIO GRANDE DO SUL,,1825618.9700000004
2013,TOCANTINS,,40524.02999999998
2013,BAHIA,,4877158.799999976
2013,PARAIBA,,84962.33999999997
2013,SERGIPE,,22199.19
2013,MATO GROSSO DO SUL,,1992863.3499999996
2013,PIAUI,,3040.5800000000004
2013,MATO GROSSO,,682029.5000000001
2013,MARANHAO,,4138783.409999997
2013,RIO GRANDE DO NORTE,,27896.35999999999
2013,PERNAMBUCO,,1868845.5700000003
2013,GOIAS,,88248404.99000004
2013,AMAZONAS,,44409286.39000001
2013,SAO PAULO,,72463351.92000021
2013,AMAPA,,5927.700000000001
2013,MINAS GERAIS,,19096822281.67964
2014,RIO DE JANEIRO,,1593512.3100000015
2014,MATO GROSSO DO SUL,,1875543.0899999996
2014,TOCANTINS,,167263.70000000007
2014,RIO GRANDE DO NORTE,,25601.76
2014,SERGIPE,,15472.6
2014,SAO PAULO,,13011726.23999997
2014,MATO GROSSO,,636423.31
2014,ESPIRITO SANTO,,569395.6800000009
2014,PIAUI,,4923.180000000001
2014,GOIAS,,518033957.8099997
2014,AMAZONAS,,228135172.88000003
2014,AMAPA,,3062.79
2014,PERNAMBUCO,,34373672.99999992
2014,ACRE,,16329.18
2014,DISTRITO FEDERAL,,963668.2000000001
2014,CEARA,,2122693.5599999977
2014,BAHIA,,20665214.900000148
2014,PARANA,,80290709.44000018
2014,MINAS GERAIS,,131806781.93000033
2014,RIO GRANDE DO SUL,,3988716.6699999543
2014,RORAIMA,,0.1
2014,PARA,,364229.43
2014,RONDONIA,,5243973.119999995
2014,ALAGOAS,,120521.71
2014,MARANHAO,,81768435.69
2014,PARAIBA,,1182730.1400000001
2014,SANTA CATARINA,,4695108.089999963
2015,PIAUI,,340460.47
2015,MATO GROSSO DO SUL,,254262.3500000001
2015,RIO DE JANEIRO,,234170352.24000007
2015,PERNAMBUCO,,275350051922.97015
2015,ALAGOAS,,147926.19
2015,MINAS GERAIS,,5826676.199999917
2015,PARA,,241466.72999999998
2015,DISTRITO FEDERAL,,14376.610000000002
2015,SANTA CATARINA,,769593.520000002
2015,SERGIPE,,81980257.99999994
2015,MARANHAO,,547832.11
2015,ACRE,,15859.74
2015,GOIAS,,89716691.61000006
2015,BAHIA,,3650889.4499999927
2015,ESPIRITO SANTO,,2349176.8699999917
2015,RONDONIA,,128606.82999999994
2015,RIO GRANDE DO NORTE,,107080.79999999999
2015,MATO GROSSO,,192617.96
2015,RORAIMA,,2
2015,RIO GRANDE DO SUL,,5038252.979999974
2015,TOCANTINS,,42360.76999999999
2015,CEARA,,180735514.00999978
2015,PARANA,,76984984.3400002
2015,AMAZONAS,,281420098.8699998
2015,SAO PAULO,,11952436.399999937
2015,PARAIBA,,4123890.1099999985
2015,AMAPA,,1954.13
2016,PIAUI,,621583.5200000001
2016,DISTRITO FEDERAL,,18065.879999999997
2016,SANTA CATARINA,,864441.0600000025
2016,RIO DE JANEIRO,,642570448.9599991
2016,PERNAMBUCO,,1479187.5600000012
2016,MARANHAO,,120950.68
2016,RONDONIA,,150320.28999999998
2016,SAO PAULO,,7902383.309999984
2016,MATO GROSSO,,40939.01999999992
2016,ESPIRITO SANTO,,402108.86000000045
2016,RIO GRANDE DO SUL,,6189917.889999938
2016,TOCANTINS,,204388.12000000008
2016,AMAZONAS,,254363963.90999994
2016,AMAPA,,482.94000000000005
2016,CEARA,,2957374.549999994
2016,SERGIPE,,19075616.19
2016,PARANA,,80618746.14000018
2016,PARAIBA,,60125.68000000003
2016,RORAIMA,,2
2016,GOIAS,,90104486.49999996
2016,BAHIA,,671262.000000001
2016,ALAGOAS,,137265.31000000017
2016,ACRE,,32783.53
2016,MINAS GERAIS,,13217470.469999894
2016,PARA,,827122.5000000002
2016,MATO GROSSO DO SUL,,47931.49000000002
2016,RIO GRANDE DO NORTE,,86496.79999999997
2017,ESPIRITO SANTO,,410998.1300000003
2017,MINAS GERAIS,,13136625.339999884
2017,AMAZONAS,,39505.37999999999
2017,RONDONIA,,354645.8200000003
2017,PARA,,212532.45000000007
2017,MARANHAO,,31181.819999999985
2017,DISTRITO FEDERAL,,40075.539999999986
2017,RIO DE JANEIRO,,2823853.4199999934
2017,SERGIPE,,210119.4799999999
2017,RORAIMA,,66.46000000000001
2017,PARAIBA,,73238.24999999999
2017,AMAPA,,762.87
2017,RIO GRANDE DO SUL,,55147853.64999977
2017,SAO PAULO,,8930569.129999872
2017,GOIAS,,104172308.28000014
2017,PIAUI,,219387.93000000002
2017,SANTA CATARINA,,1084273.350000002
2017,PARANA,,4871021.919999983
2017,RIO GRANDE DO NORTE,,94075.79999999996
2017,MATO GROSSO DO SUL,,77657655.93999998
2017,PERNAMBUCO,,1791188.1499999992
2017,ALAGOAS,,208614.66
2017,MATO GROSSO,,449826.1400000004
2017,TOCANTINS,,209479.23000000007
2017,ACRE,,15752.339999999998
2017,CEARA,,14777677.219999967
2017,BAHIA,,296141.8200000013
2018,ACRE,,15414.169999999998
2018,AMAPA,,1320.8700000000001
2018,CEARA,,2764120.439999994
2018,ALAGOAS,,214894.24
2018,MINAS GERAIS,,9152738.759999856
2018,RONDONIA,,315652.69000000006
2018,PERNAMBUCO,,2303906.5299999965
2018,PARA,,827768.0700000003
2018,PIAUI,,863540.0100000002
2018,SAO PAULO,,10767320.339999843
2018,MATO GROSSO DO SUL,,133617860.39
2018,SANTA CATARINA,,937856.420000001
2018,RIO DE JANEIRO,,15779193.95
2018,RIO GRANDE DO SUL,,4522652.939999934
2018,GOIAS,,94639659.2100002
2018,TOCANTINS,,265337.8200000003
2018,ESPIRITO SANTO,,369207.8800000001
2018,PARANA,,325073.1900000005
2018,BAHIA,,426718.9700000001
2018,DISTRITO FEDERAL,,2079.5299999999997
2018,MARANHAO,,31138.04999999998
2018,RORAIMA,,36.97
2018,AMAZONAS,,52956.95
2018,PARAIBA,,68147.85000000005
2018,RIO GRANDE DO NORTE,,11336295.159999985
2018,SERGIPE,,32140.649999999994
2018,MATO GROSSO,,256459.59000000023
2019,PIAUI,,903096.78
2019,ALAGOAS,,457280.33
2019,RONDONIA,,703350104.7099996
2019,RIO DE JANEIRO,,710127708.3399997
2019,TOCANTINS,,23588.919999999987
2019,GOIAS,,8402712.659999995
2019,PARAIBA,,15071502.409999998
2019,SANTA CATARINA,,1417215881.549992
2019,MATO GROSSO DO SUL,,101283171.02000012
2019,CEARA,,1872318.990000001
2019,MATO GROSSO,,1921135.7300000004
2019,SAO PAULO,,40127693.21000026
2019,AMAZONAS,,168011475569.74017
2019,ACRE,,15447.470000000001
2019,RIO GRANDE DO SUL,,79988788.02000107
2019,PERNAMBUCO,,926711.3599999999
2019,DISTRITO FEDERAL,,1663129898.6599998
2019,MARANHAO,,36509.840000000004
2019,AMAPA,,1714.2999999999997
2019,PARA,,209113.16999999993
2019,RORAIMA,,37.36
2019,ESPIRITO SANTO,,2314914.589999989
2019,PARANA,,400068.81
2019,BAHIA,,400611.67
2019,SERGIPE,,27474.609999999997
2019,MINAS GERAIS,,4339699.529999993
2019,RIO GRANDE DO NORTE,,6670729.569999995
2020,MINAS GERAIS,,3072691.369999972
2020,GOIAS,,9175624.959999995
2020,RONDONIA,,45392.05000000003
2020,BAHIA,,2256750.469999986
2020,RIO GRANDE DO SUL,,451784.4200000025
2020,PARAIBA,,104193.93999999997
2020,CEARA,,2248286.3199999947
2020,RORAIMA,,567.56
2020,AMAZONAS,,323710831266.6005
2020,ESPIRITO SANTO,,260959.98999999976
2020,MATO GROSSO,,2044826.8000000017
2020,TOCANTINS,,46615.98999999999
2020,ACRE,,108496.20999999998
2020,PERNAMBUCO,,18102861.810000066
2020,RIO GRANDE DO NORTE,,8704197.649999997
2020,PIAUI,,8773.260000000002
2020,AMAPA,,1592.4199999999998
2020,PARANA,,6022369.679999977
2020,MARANHAO,,87858.68999999993
2020,SANTA CATARINA,,1080921.510000001
2020,MATO GROSSO DO SUL,,1737137.770000003
2020,SERGIPE,,4531461.6899999995
2020,DISTRITO FEDERAL,,24979.26999999998
2020,ALAGOAS,,55096.45000000001
2020,RIO DE JANEIRO,,631651.4700000009
2020,PARA,,224465.4300000005
2020,SAO PAULO,,28883150.950000186
2021,RORAIMA,,30.41
2021,MATO GROSSO,,468911.66000000003
2021,PARA,,264642.7100000004
2021,RIO DE JANEIRO,,1202316.4200000018
2021,PERNAMBUCO,,1547940.1600000004
2021,BAHIA,,2417847.009999991
2021,PIAUI,,12108.83
2021,TOCANTINS,,42013.149999999994
2021,RONDONIA,,34823.4
2021,ALAGOAS,,17086.119999999995
2021,SERGIPE,,20673.969999999998
2021,ESPIRITO SANTO,,2181344.3599999957
2021,DISTRITO FEDERAL,,23517.46999999998
2021,SAO PAULO,,26168544.989999972
2021,MATO GROSSO DO SUL,,527753.1300000001
2021,RIO GRANDE DO NORTE,,12784335.250000002
2021,AMAZONAS,,942996971.1399999
2021,SANTA CATARINA,,2074341.8300000061
2021,PARANA,,1342693.2099999995
2021,CEARA,,1524715.8300000033
2021,ACRE,,21513.239999999998
2021,RIO GRANDE DO SUL,,9412804.059999917
2021,GOIAS,,9512868.499999974
2021,AMAPA,,1927.6699999999998
2021,MINAS GERAIS,,2496294.2199999867
2021,MARANHAO,,56689.830000000016
2021,PARAIBA,,148870.73000000007
2022,CEARA,,1372270.1400000001
2022,PARAIBA,,344962.83000000013
2022,DISTRITO FEDERAL,,60593.21999999999
2022,TOCANTINS,,458003.3500000001
2022,RIO DE JANEIRO,,1563030.9800000018
2022,MATO GROSSO DO SUL,,159507808.95000023
2022,PARANA,,6932305.059999959
2022,SERGIPE,,13817.350000000006
2022,ESPIRITO SANTO,,270634.5700000007
2022,GOIAS,,9791716.689999994
2022,PERNAMBUCO,,692509.6100000005
2022,PIAUI,,393490.35000000003
2022,MARANHAO,,78273.15000000001
2022,AMAZONAS,,147787293500.4901
2022,SANTA CATARINA,,1119083.3500000031
2022,ALAGOAS,,21525.1
2022,AMAPA,,624.44
2022,RIO GRANDE DO SUL,,1189128.9400000037
2022,RIO GRANDE DO NORTE,,9515137.699999996
2022,RORAIMA,,222.70999999999998
2022,ACRE,,5523.93
2022,PARA,,189082.56000000017
2022,MATO GROSSO,,15216974.869999997
2022,BAHIA,,5536652.06999996
2022,RONDONIA,,55064.35000000001
2022,SAO PAULO,,6532275.909999948
2022,MINAS GERAIS,,2294611.779999978
AS GERAIS,,2294217.0999999805
