ano_referencia,idh,idh_feminino,idh_masculino,expectativa_de_vida,expectativa_de_vida_feminina,expectativa_de_vida_masculina,expectativa_de_anos_escola,expectativa_de_anos_escola_feminina,expectativa_de_anos_escola_masculina,media_de_anos_escola,media_de_anos_escola_feminina,media_de_anos_escola_masculina,taxa_mortalidade_materna,emissao_toneladas_co2_per_capta,material_footprint_toneladas_per_capta
1991,0.624,0,0,66.31,69.33,63.44,12.97,0,0,3.83,3.96,3.67,175.61,1.5,12.29
1992,0.627,0,0,66.71,69.78,63.8,13.02,0,0,3.98,4.12,3.81,169.71,1.5,11.89
1993,0.633,0,0,67.11,70.18,64.19,13.06,0,0,4.12,4.28,3.95,158.89,1.54,11.28
1994,0.638,0,0,67.57,70.65,64.64,13.11,0,0,4.27,4.45,4.09,146.64,1.58,12.14
1995,0.645,0,0,67.92,71.09,64.91,13.15,0,0,4.42,4.61,4.23,121.07,1.64,12.64
1996,0.65,0,0,68.41,71.59,65.38,13.2,0,0,4.59,4.77,4.4,110.07,1.74,13.08
1997,0.656,0,0,68.81,72.03,65.74,13.24,0,0,4.76,4.94,4.57,99.54,1.82,13.04
1998,0.66,0,0,69.19,72.43,66.09,13.29,0,0,4.93,5.1,4.74,89.94,1.86,13.33
1999,0.663,0,0,69.52,72.81,66.38,13.34,0,0,5.1,5.26,4.91,74.08,1.89,11.95
2000,0.668,0.665137701,0.66700035,69.74,73.43,66.26,13.38,13.92,12.85,5.27,5.43,5.07,68.4,1.93,12.08
2001,0.673,0.66847353,0.672750388,70.19,73.97,66.64,13.43,13.96,12.91,5.45,5.59,5.28,67.92,1.94,11.77
2002,0.678,0.67426829,0.677119934,70.41,74.19,66.85,13.48,13.99,12.97,5.63,5.75,5.48,72.38,1.93,12.29
2003,0.682,0.678303198,0.682010874,70.72,74.42,67.21,13.52,14.03,13.02,5.8,5.91,5.68,68.84,1.89,12.28
2004,0.689,0.685743006,0.688852537,71.13,74.92,67.54,13.57,14.06,13.08,5.98,6.07,5.88,69.77,1.96,12.39
2005,0.696,0.692442379,0.695521522,71.75,75.4,68.25,13.62,14.1,13.14,6.15,6.25,6.04,69.97,1.95,12.54
2006,0.701,0.698257004,0.700981509,72.04,75.67,68.55,13.67,14.14,13.2,6.32,6.43,6.2,71.32,1.95,13.21
2007,0.708,0.704745887,0.708256066,72.36,75.88,68.96,13.71,14.17,13.25,6.5,6.61,6.38,72.02,2.05,14.14
2008,0.714,0.709564746,0.715133918,72.72,76.13,69.38,13.76,14.21,13.31,6.67,6.79,6.54,70.49,2.14,16.38
2009,0.717,0.712939519,0.717219548,72.95,76.3,69.66,13.81,14.25,13.37,6.77,6.89,6.63,67.93,2,16.17
2010,0.722,0.718217344,0.722711281,73.18,76.59,69.84,13.86,14.28,13.43,6.88,7.04,6.7,63.86,2.24,17.71
2011,0.727,0.721893376,0.728060805,73.34,76.65,70.09,13.9,14.32,13.49,7.01,7.16,6.83,61.94,2.33,19.85
2012,0.732,0.725743446,0.733241783,73.55,76.87,70.29,13.95,14.36,13.55,7.22,7.38,7.03,56.88,2.49,19.78
2013,0.75,0.743433766,0.751256276,73.92,77.12,70.75,15.25,15.67,14.82,7.29,7.48,7.08,60.87,2.64,19.88
2014,0.753,0.746708742,0.755226051,74.31,77.43,71.19,15.37,15.82,14.91,7.38,7.58,7.16,62.28,2.74,19.15
2015,0.752,0.745936897,0.753006213,74.33,77.57,71.12,15.25,15.66,14.83,7.51,7.7,7.29,62.18,2.58,17.92
2016,0.753,0.74843986,0.754094903,74.44,77.85,71.09,15.29,15.69,14.9,7.73,7.91,7.53,62.71,2.38,17.93
2017,0.758,0.753170788,0.759055677,74.83,78.03,71.64,15.41,15.79,15.02,7.85,8.05,7.62,59.7,2.38,17.83
2018,0.762,0.757066427,0.76290887,75.11,78.27,71.96,15.5,15.92,15.09,7.98,8.18,7.75,59.18,2.27,18.05
2019,0.764,0.760315415,0.764857891,75.34,78.47,72.2,15.45,15.92,14.99,8.13,8.33,7.89,60.74,2.24,17.77
2020,0.758,0.754852672,0.758115943,74.01,77.38,70.7,15.45,15.94,14.97,8.28,8.49,8.04,72.15,2.08,17.86
2021,0.756,0.754503911,0.753557414,72.75,76.01,69.56,15.58,16.22,14.95,8.28,8.49,8.04,72.15,2.32,17
2022,0.76,0.758197177,0.758060299,73.43,76.6,70.3,15.58,16.22,14.95,8.28,8.49,8.04,72.15,2.32,17.1
33,7.89,60,2.2,18.87
