referencia,ano,mes,valor_pib
1953-01,1953,01,0.0000000000000066836
1953-02,1953,02,0.000000000000013378
1953-03,1953,03,0.000000000000013378
1953-04,1953,04,0.000000000000014884
1953-05,1953,05,0.000000000000014276
1953-06,1953,06,0.00000000000001567
1953-07,1953,07,0.000000000000015846
1953-08,1953,08,0.000000000000014425
1953-09,1953,09,0.000000000000013632
1953-10,1953,10,0.000000000000013491
1953-11,1953,11,0.000000000000013659
1953-12,1953,12,0.000000000000018587
1954-01,1954,01,0.000000000000019783
1954-02,1954,02,0.000000000000019416
1954-03,1954,03,0.00000000000002125
1954-04,1954,04,0.000000000000020508
1954-05,1954,05,0.000000000000018416
1954-06,1954,06,0.000000000000020012
1954-07,1954,07,0.000000000000020422
1954-08,1954,08,0.000000000000021288
1954-09,1954,09,0.00000000000002177
1954-10,1954,10,0.00000000000002255
1954-11,1954,11,0.000000000000023339
1954-12,1954,12,0.000000000000025331
1955-01,1955,01,0.000000000000026158
1955-02,1955,02,0.000000000000025468
1955-03,1955,03,0.000000000000025847
1955-04,1955,04,0.000000000000026739
1955-05,1955,05,0.000000000000026909
1955-06,1955,06,0.000000000000026897
1955-07,1955,07,0.000000000000026422
1955-08,1955,08,0.000000000000025261
1955-09,1955,09,0.000000000000024867
1955-10,1955,10,0.000000000000023613
1955-11,1955,11,0.000000000000022915
1955-12,1955,12,0.000000000000023114
1956-01,1956,01,0.000000000000023484
1956-02,1956,02,0.000000000000024357
1956-03,1956,03,0.000000000000024252
1956-04,1956,04,0.000000000000024752
1956-05,1956,05,0.000000000000025595
1956-06,1956,06,0.000000000000027636
1956-07,1956,07,0.000000000000027496
1956-08,1956,08,0.000000000000025455
1956-09,1956,09,0.000000000000025273
1956-10,1956,10,0.000000000000023636
1956-11,1956,11,0.000000000000023612
1956-12,1956,12,0.000000000000022933
1957-01,1957,01,0.000000000000023091
1957-02,1957,02,0.000000000000023113
1957-03,1957,03,0.000000000000023345
1957-04,1957,04,0.000000000000023057
1957-05,1957,05,0.00000000000002424
1957-06,1957,06,0.000000000000025909
1957-07,1957,07,0.000000000000025126
1957-08,1957,08,0.000000000000026306
1957-09,1957,09,0.000000000000028145
1957-10,1957,10,0.000000000000029294
1957-11,1957,11,0.000000000000030825
1957-12,1957,12,0.000000000000033171
1958-01,1958,01,0.000000000000033045
1958-02,1958,02,0.000000000000035479
1958-03,1958,03,0.000000000000036807
1958-04,1958,04,0.000000000000040315
1958-05,1958,05,0.000000000000046425
1958-06,1958,06,0.000000000000046558
1958-07,1958,07,0.000000000000047874
1958-08,1958,08,0.000000000000049429
