referencia,ano,mes,valor_pib
1991-01,1991,01,42.01
1991-02,1991,02,38.83
1991-03,1991,03,39.51
1991-04,1991,04,39.7
1991-05,1991,05,39.5
1991-06,1991,06,38.1
1991-07,1991,07,36.18
1991-08,1991,08,35.22
1991-09,1991,09,34.13
1991-10,1991,10,35.55
1991-11,1991,11,36.82
1991-12,1991,12,38.14
1992-01,1992,01,37.33
1992-02,1992,02,37.38
1992-03,1992,03,38.3
1992-04,1992,04,37.94
1992-05,1992,05,37.17
1992-06,1992,06,37.7
1992-07,1992,07,37.77
1992-08,1992,08,36.85
1992-09,1992,09,36.66
1992-10,1992,10,36.91
1992-11,1992,11,36.83
1992-12,1992,12,37.06
1993-01,1993,01,36.34
1993-02,1993,02,36.54
1993-03,1993,03,36.41
1993-04,1993,04,35.79
1993-05,1993,05,34.94
1993-06,1993,06,34.45
1993-07,1993,07,33.78
1993-08,1993,08,33.47
1993-09,1993,09,33.22
1993-10,1993,10,33.13
1993-11,1993,11,32.7
1993-12,1993,12,32.56
1994-01,1994,01,32.31
1994-02,1994,02,32
1994-03,1994,03,32.7
1994-04,1994,04,33.22
1994-05,1994,05,33.58
1994-06,1994,06,33.12
1994-07,1994,07,32.82
1994-08,1994,08,31.61
1994-09,1994,09,30.63
1994-10,1994,10,29.9
1994-11,1994,11,29.91
1994-12,1994,12,30.01
1995-01,1995,01,29.35
1995-02,1995,02,29.43
1995-03,1995,03,28.92
1995-04,1995,04,28.67
1995-05,1995,05,28.11
1995-06,1995,06,28.58
1995-07,1995,07,28.74
1995-08,1995,08,29.06
1995-09,1995,09,29.75
1995-10,1995,10,30.07
1995-11,1995,11,30.28
1995-12,1995,12,27.98
1996-01,1996,01,27.95
1996-02,1996,02,28.08
1996-03,1996,03,28.12
1996-04,1996,04,28.68
1996-05,1996,05,29.33
1996-06,1996,06,29.9
1996-07,1996,07,30.08
1996-08,1996,08,30.28
1996-09,1996,09,30.56
1996-10,1996,10,30.72
1996-11,1996,11,30.77
1996-12,1996,12,30.72
1997-01,1997,01,30.64
1997-02,1997,02,30.54
1997-03,1997,03,30.6
1997-04,1997,04,30.72
1997-05,1997,05,30.41
1997-06,1997,06,29.6
1997-07,1997,07,29.91
1997-08,1997,08,29.71
1997-09,1997,09,30.14
1997-10,1997,10,30.37
1997-11,1997,11,30.55
1997-12,1997,12,31.83
1998-01,1998,01,32.66
1998-02,1998,02,33.15
1998-03,1998,03,33.24
1998-04,1998,04,33.46
1998-05,1998,05,33.92
1998-06,1998,06,35.17
1998-07,1998,07,35.55
1998-08,1998,08,35.81
1998-09,1998,09,36.52
1998-10,1998,10,37.58
1998-11,1998,11,38.55
1998-12,1998,12,38.94
1999-01,1999,01,47.06
1999-02,1999,02,47.21
1999-03,1999,03,43.87
1999-04,1999,04,43.73
1999-05,1999,05,45.07
1999-06,1999,06,45.18
1999-07,1999,07,45.58
1999-08,1999,08,46.57
1999-09,1999,09,46.01
1999-10,1999,10,45.97
1999-11,1999,11,45.12
1999-12,1999,12,44.53
2000-01,2000,01,44.98
2000-02,2000,02,45.48
2000-03,2000,03,45.49
2000-04,2000,04,46.39
2000-05,2000,05,46.55
2000-06,2000,06,45.98
2000-07,2000,07,45.3
2000-08,2000,08,44.7
2000-09,2000,09,44.86
2000-10,2000,10,45.46
2000-11,2000,11,45.16
2000-12,2000,12,45.54
2001-01,2001,01,45.38
2001-02,2001,02,45.91
2001-03,2001,03,46.25
2001-04,2001,04,46.26
2001-05,2001,05,47.4
2001-06,2001,06,47.08
2001-07,2001,07,48.26
2001-08,2001,08,49.3
2001-09,2001,09,49.9
2001-10,2001,10,49.64
2001-11,2001,11,48.38
2001-12,2001,12,51.49
2002-01,2002,01,52.28
2002-02,2002,02,51.43
2002-03,2002,03,51.01
2002-04,2002,04,50.95
2002-05,2002,05,52.17
2002-06,2002,06,54.54
2002-07,2002,07,58.79
2002-08,2002,08,55.91
2002-09,2002,09,62.45
2002-10,2002,10,60.4
2002-11,2002,11,59.85
2002-12,2002,12,59.93
2003-01,2003,01,59.97
2003-02,2003,02,60.26
2003-03,2003,03,58.46
2003-04,2003,04,54.44
2003-05,2003,05,54.96
2003-06,2003,06,54.42
2003-07,2003,07,55.11
2003-08,2003,08,55.49
2003-09,2003,09,54.73
2003-10,2003,10,53.8
2003-11,2003,11,54.22
2003-12,2003,12,54.26
2004-01,2004,01,54.05
2004-02,2004,02,53.8
2004-03,2004,03,53.19
2004-04,2004,04,52.91
2004-05,2004,05,53.45
2004-06,2004,06,52.83
2004-07,2004,07,52.07
2004-08,2004,08,51.44
2004-09,2004,09,50.86
2004-10,2004,10,50.75
2004-11,2004,11,50.05
2004-12,2004,12,50.19
2005-01,2005,01,49.56
2005-02,2005,02,49.3
2005-03,2005,03,49.31
2005-04,2005,04,48.32
2005-05,2005,05,47.94
2005-06,2005,06,48.04
2005-07,2005,07,48.14
2005-08,2005,08,47.95
2005-09,2005,09,47.65
2005-10,2005,10,47.53
2005-11,2005,11,47.42
2005-12,2005,12,47.92
2006-01,2006,01,47.82
2006-02,2006,02,47.78
2006-03,2006,03,47.66
2006-04,2006,04,47.14
2006-05,2006,05,47.02
2006-06,2006,06,46.96
2006-07,2006,07,46.83
2006-08,2006,08,46.62
2006-09,2006,09,46.57
2006-10,2006,10,46.17
2006-11,2006,11,46.01
2006-12,2006,12,46.49
2007-01,2007,01,45.95
2007-02,2007,02,45.86
2007-03,2007,03,45.81
2007-04,2007,04,45.08
2007-05,2007,05,45.23
2007-06,2007,06,44.8
2007-07,2007,07,44.73
2007-08,2007,08,44.09
2007-09,2007,09,44.59
2007-10,2007,10,44.6
2007-11,2007,11,44.11
2007-12,2007,12,44.55
2008-01,2008,01,43.71
2008-02,2008,02,43.79
2008-03,2008,03,43
2008-04,2008,04,42.82
2008-05,2008,05,43.03
2008-06,2008,06,42.89
2008-07,2008,07,42.74
2008-08,2008,08,42.02
2008-09,2008,09,39.96
2008-10,2008,10,38.3
2008-11,2008,11,36.95
2008-12,2008,12,37.57
2009-01,2009,01,38.05
2009-02,2009,02,38.02
2009-03,2009,03,38.04
2009-04,2009,04,38.65
2009-05,2009,05,39.66
2009-06,2009,06,39.98
2009-07,2009,07,40.64
2009-08,2009,08,40.63
2009-09,2009,09,41.56
2009-10,2009,10,41.42
2009-11,2009,11,40.94
2009-12,2009,12,40.88
2010-01,2010,01,39.59
2010-02,2010,02,39.82
2010-03,2010,03,39.91
2010-04,2010,04,39.47
2010-05,2010,05,38.97
2010-06,2010,06,38.89
2010-07,2010,07,38.99
2010-08,2010,08,38.76
2010-09,2010,09,38.22
2010-10,2010,10,37.89
2010-11,2010,11,37.77
2010-12,2010,12,37.98
2011-01,2011,01,37.57
2011-02,2011,02,37.49
2011-03,2011,03,37.53
2011-04,2011,04,37.42
2011-05,2011,05,37.25
2011-06,2011,06,37.08
2011-07,2011,07,36.82
2011-08,2011,08,36.55
2011-09,2011,09,34.67
2011-10,2011,10,35.65
2011-11,2011,11,34.76
2011-12,2011,12,34.47
2012-01,2012,01,35
2012-02,2012,02,35.15
2012-03,2012,03,34.26
2012-04,2012,04,33.5
2012-05,2012,05,32.77
2012-06,2012,06,32.78
2012-07,2012,07,32.51
2012-08,2012,08,32.6
2012-09,2012,09,32.62
2012-10,2012,10,32.44
2012-11,2012,11,32.08
2012-12,2012,12,32.19
2013-01,2013,01,32.17
2013-02,2013,02,32.59
2013-03,2013,03,32.4
2013-04,2013,04,32.14
2013-05,2013,05,31.51
2013-06,2013,06,31.19
2013-07,2013,07,30.8
2013-08,2013,08,30.58
2013-09,2013,09,31.51
2013-10,2013,10,31.62
2013-11,2013,11,30.58
2013-12,2013,12,30.5
2014-01,2014,01,30.01
2014-02,2014,02,30.36
2014-03,2014,03,30.78
2014-04,2014,04,30.78
2014-05,2014,05,31.1
2014-06,2014,06,31.48
2014-07,2014,07,31.6
2014-08,2014,08,32.14
2014-09,2014,09,32.07
2014-10,2014,10,32.22
2014-11,2014,11,32.18
2014-12,2014,12,32.59
2015-01,2015,01,32.5
2015-02,2015,02,32.3
2015-03,2015,03,31.59
2015-04,2015,04,32.35
2015-05,2015,05,32.39
2015-06,2015,06,33.23
2015-07,2015,07,32.91
2015-08,2015,08,32.46
2015-09,2015,09,32.02
2015-10,2015,10,33.06
2015-11,2015,11,33.9
2015-12,2015,12,35.64
2016-01,2016,01,35.34
2016-02,2016,02,36.28
2016-03,2016,03,38.33
2016-04,2016,04,38.87
2016-05,2016,05,39.08
2016-06,2016,06,41.35
2016-07,2016,07,41.93
2016-08,2016,08,42.81
2016-09,2016,09,43.63
2016-10,2016,10,43.88
2016-11,2016,11,43.99
2016-12,2016,12,46.14
2017-01,2017,01,46.46
2017-02,2017,02,47.26
2017-03,2017,03,47.53
2017-04,2017,04,47.48
2017-05,2017,05,48
2017-06,2017,06,48.44
2017-07,2017,07,49.68
2017-08,2017,08,50.1
2017-09,2017,09,50.76
2017-10,2017,10,50.54
2017-11,2017,11,50.86
2017-12,2017,12,51.37
2018-01,2018,01,51.43
2018-02,2018,02,51.58
2018-03,2018,03,51.83
2018-04,2018,04,51.22
2018-05,2018,05,50.67
2018-06,2018,06,50.71
2018-07,2018,07,51.3
2018-08,2018,08,50.33
2018-09,2018,09,51.32
2018-10,2018,10,52.43
2018-11,2018,11,52.2
2018-12,2018,12,52.77
2019-01,2019,01,53.11
2019-02,2019,02,53.11
2019-03,2019,03,53.04
2019-04,2019,04,53.05
2019-05,2019,05,53.24
2019-06,2019,06,53.82
2019-07,2019,07,54.26
