periodo,valor
1º trimestre 1996,189323
2º trimestre 1996,204611
3º trimestre 1996,221513
4º trimestre 1996,239316
1º trimestre 1997,219117
2º trimestre 1997,232890
3º trimestre 1997,246178
4º trimestre 1997,253904
1º trimestre 1998,235701
2º trimestre 1998,251936
3º trimestre 1998,258043
4º trimestre 1998,256671
1º trimestre 1999,250668
2º trimestre 1999,268709
3º trimestre 1999,274126
4º trimestre 1999,294208
1º trimestre 2000,276927
2º trimestre 2000,292789
3º trimestre 2000,308896
4º trimestre 2000,320481
1º trimestre 2001,312470
2º trimestre 2001,323724
3º trimestre 2001,332524
4º trimestre 2001,347038
1º trimestre 2002,342297
2º trimestre 2002,367363
3º trimestre 2002,379795
4º trimestre 2002,399333
1º trimestre 2003,397242
2º trimestre 2003,418987
3º trimestre 2003,439350
4º trimestre 2003,462372
1º trimestre 2004,444783
2º trimestre 2004,481795
3º trimestre 2004,505252
4º trimestre 2004,525920
1º trimestre 2005,499710
2º trimestre 2005,535557
3º trimestre 2005,552859
4º trimestre 2005,582458
1º trimestre 2006,554270
2º trimestre 2006,581977
3º trimestre 2006,617848
4º trimestre 2006,655355
1º trimestre 2007,631423
2º trimestre 2007,670655
3º trimestre 2007,691846
4º trimestre 2007,726339
1º trimestre 2008,712055
2º trimestre 2008,769525
3º trimestre 2008,812603
4º trimestre 2008,815620
1º trimestre 2009,756127
2º trimestre 2009,803577
3º trimestre 2009,852843
4º trimestre 2009,920492
1º trimestre 2010,886397
2º trimestre 2010,944145
3º trimestre 2010,997935
4º trimestre 2010,1057370
1º trimestre 2011,1016531
2º trimestre 2011,1086712
3º trimestre 2011,1112334
4º trimestre 2011,1160805
1º trimestre 2012,1129474
2º trimestre 2012,1183126
3º trimestre 2012,1230449
4º trimestre 2012,1271711
1º trimestre 2013,1241614
2º trimestre 2013,1322580
3º trimestre 2013,1354134
4º trimestre 2013,1413291
1º trimestre 2014,1385981
2º trimestre 2014,1422322
3º trimestre 2014,1462125
4º trimestre 2014,1508525
1º trimestre 2015,1456659
2º trimestre 2015,1479970
3º trimestre 2015,1508228
4º trimestre 2015,1550930
1º trimestre 2016,1500299
2º trimestre 2016,1559050
3º trimestre 2016,1577170
4º trimestre 2016,1632808
1º trimestre 2017,1585673
2º trimestre 2017,1630730
3º trimestre 2017,1648635
4º trimestre 2017,1720441
1º trimestre 2018,1682083
2º trimestre 2018,1734099
3º trimestre 2018,1767856
4º trimestre 2018,1820103
1º trimestre 2019,1757554
2º trimestre 2019,1826761
3º trimestre 2019,1880610
4º trimestre 2019,1924206
1º trimestre 2020,1868095
2º trimestre 2020,1752724
3º trimestre 2020,1929323
4º trimestre 2020,2059455
1º trimestre 2021,2156670
2º trimestre 2021,2203639
3º trimestre 2021,2295851
4º trimestre 2021,2355982
1º trimestre 2022,2319528
2º trimestre 2022,2517481
3º trimestre 2022,2601182
4º trimestre 2022,2641485
1º trimestre 2023,2582706
2º trimestre 2023,2701105
3º trimestre 2023,2740961
4º trimestre 2023,2831340
