referencia,valor,modo_venda,kg
1990-01,0.000004578,produtor,1
1990-02,0.000010178,produtor,1
1990-03,0.000019771,produtor,1
1990-04,0.000018102,produtor,1
1990-05,0.000022578,produtor,1
1990-06,0.000024375,produtor,1
1990-07,0.000023167,produtor,1
1990-08,0.000028018,produtor,1
1990-09,0.000031265,produtor,1
1990-10,0.000029698,produtor,1
1990-11,0.000030444,produtor,1
1990-12,0.000034996,produtor,1
1991-01,0.00004756,produtor,1
1991-02,0.000062305,produtor,1
1991-03,0.000078385,produtor,1
1991-04,0.000085564,produtor,1
1991-05,0.000085989,produtor,1
1991-06,0.000088644,produtor,1
1991-07,0.00009796,produtor,1
1991-08,0.000096076,produtor,1
1991-09,0.00012582,produtor,1
1991-10,0.00015982,produtor,1
1991-11,0.00018943,produtor,1
1991-12,0.00021102,produtor,1
1992-01,0.00029397,produtor,1
1992-02,0.00035452,produtor,1
1992-03,0.00042604,produtor,1
1992-04,0.001,produtor,1
1992-05,0.001,produtor,1
1992-06,0.001,produtor,1
1992-07,0.001,produtor,1
1992-08,0.001,produtor,1
1992-09,0.001,produtor,1
1992-10,0.002,produtor,1
1992-11,0.003,produtor,1
1992-12,0.004,produtor,1
1993-01,0.005,produtor,1
1993-02,0.005,produtor,1
1993-03,0.007,produtor,1
1993-04,0.008,produtor,1
1993-05,0.01,produtor,1
1993-06,0.014,produtor,1
1993-07,0.021,produtor,1
1993-08,0.03,produtor,1
1993-09,0.04,produtor,1
1993-10,0.052,produtor,1
1993-11,0.069,produtor,1
1993-12,0.098,produtor,1
1994-01,0.133,produtor,1
1994-02,0.197,produtor,1
1994-03,0.306,produtor,1
1994-04,0.475,produtor,1
1994-05,0.867,produtor,1
1994-06,1.414,produtor,1
1994-07,2.59,produtor,1
1994-08,2.46,produtor,1
1994-09,2.45,produtor,1
1994-10,2.43,produtor,1
1994-11,2.05,produtor,1
1994-12,1.67,produtor,1
1995-01,1.79,produtor,1
1995-02,1.87,produtor,1
1995-03,2.01,produtor,1
1995-04,2.06,produtor,1
1995-05,2.09,produtor,1
1995-06,2.04,produtor,1
1995-07,1.88,produtor,1
1995-08,2.01,produtor,1
1995-09,1.94,produtor,1
1995-10,1.85,produtor,1
1995-11,1.87,produtor,1
1995-12,1.79,produtor,1
1996-01,1.83,produtor,1
1996-02,2.13,produtor,1
1996-03,2.13,produtor,1
1996-04,2.04,produtor,1
1996-05,2.04,produtor,1
1996-06,1.83,produtor,1
1996-07,1.4,produtor,1
1996-08,1.38,produtor,1
1996-09,1.58,produtor,1
1996-10,1.51,produtor,1
1996-11,1.51,produtor,1
1996-12,1.51,produtor,1
1997-01,1.75,produtor,1
1997-02,2.26,produtor,1
1997-03,2.36,produtor,1
1997-04,2.35,produtor,1
1997-05,2.65,produtor,1
1997-06,2.88,produtor,1
1997-07,2.51,produtor,1
1997-08,2.79,produtor,1
1997-09,3.08,produtor,1
1997-10,2.98,produtor,1
1997-11,2.86,produtor,1
1997-12,3.21,produtor,1
1998-01,3.42,produtor,1
1998-02,3.45,produtor,1
1998-03,3.07,produtor,1
1998-04,2.65,produtor,1
1998-05,2.2,produtor,1
1998-06,1.95,produtor,1
1998-07,1.63,produtor,1
1998-08,1.83,produtor,1
1998-09,1.67,produtor,1
1998-10,1.6,produtor,1
1998-11,1.64,produtor,1
1998-12,1.81,produtor,1
1999-01,1.98,produtor,1
1999-02,2.33,produtor,1
1999-03,2.3,produtor,1
1999-04,2.01,produtor,1
1999-05,2.1,produtor,1
1999-06,2.39,produtor,1
1999-07,2.04,produtor,1
1999-08,2.01,produtor,1
1999-09,2.04,produtor,1
1999-10,2.23,produtor,1
1999-11,2.82,produtor,1
1999-12,3.12,produtor,1
2000-01,3.06,produtor,1
2000-02,2.81,produtor,1
2000-03,2.52,produtor,1
2000-04,2.51,produtor,1
2000-05,2.52,produtor,1
2000-06,2.24,produtor,1
2000-07,2.24,produtor,1
2000-08,1.97,produtor,1
2000-09,1.92,produtor,1
2000-10,1.9,produtor,1
2000-11,1.88,produtor,1
2000-12,1.63,produtor,1
2001-01,1.59,produtor,1
2001-02,1.62,produtor,1
2001-03,1.6,produtor,1
2001-04,1.49,produtor,1
2001-05,1.59,produtor,1
2001-06,1.61,produtor,1
2001-07,1.49,produtor,1
2001-08,1.43,produtor,1
2001-09,1.4,produtor,1
2001-10,1.26,produtor,1
2001-11,1.26,produtor,1
2001-12,1.25,produtor,1
2002-01,1.27,produtor,1
2002-02,1.27,produtor,1
2002-03,1.29,produtor,1
2002-04,1.34,produtor,1
2002-05,1.24,produtor,1
2002-06,1.21,produtor,1
2002-07,1.24,produtor,1
2002-08,1.27,produtor,1
2002-09,1.53,produtor,1
2002-10,1.93,produtor,1
2002-11,2.15,produtor,1
2002-12,2.33,produtor,1
2003-01,2.28,produtor,1
2003-02,2.48,produtor,1
2003-03,2.34,produtor,1
2003-04,2.3,produtor,1
2003-05,2.26,produtor,1
2003-06,2.19,produtor,1
2003-07,2.15,produtor,1
2003-08,2.34,produtor,1
2003-09,2.34,produtor,1
2003-10,2.31,produtor,1
2003-11,2.323,produtor,1
2003-12,2.357,produtor,1
2004-01,2.51,produtor,1
2004-02,2.693,produtor,1
2004-03,2.754,produtor,1
2004-04,2.744,produtor,1
2004-05,2.818,produtor,1
2004-06,3.093,produtor,1
2004-07,2.761,produtor,1
2004-08,2.642,produtor,1
2004-09,2.733,produtor,1
2004-10,2.849,produtor,1
2004-11,3.018,produtor,1
2004-12,3.265,produtor,1
2005-01,3.452,produtor,1
2005-02,3.836,produtor,1
2005-03,4.129,produtor,1
2005-04,3.962,produtor,1
2005-05,3.971,produtor,1
2005-06,3.831,produtor,1
2005-07,3.537,produtor,1
2005-08,3.415,produtor,1
2005-09,3.234,produtor,1
2005-10,3.223,produtor,1
2005-11,3.399,produtor,1
2005-12,3.339,produtor,1
2006-01,3.625,produtor,1
2006-02,3.713,produtor,1
2006-03,3.481,produtor,1
2006-04,3.501,produtor,1
2006-05,3.322,produtor,1
2006-06,3.164,produtor,1
2006-07,3.157,produtor,1
2006-08,3.237,produtor,1
2006-09,3.282,produtor,1
2006-10,3.302,produtor,1
2006-11,3.63,produtor,1
2006-12,4.064,produtor,1
2007-01,3.96,produtor,1
2007-02,3.824,produtor,1
2007-03,3.636,produtor,1
2007-04,3.449,produtor,1
2007-05,3.297,produtor,1
